text,app_id
baevis выключи компьютер,unknown
baevis выключи компьютер на компе,unknown
baevis где мой вскод,visual_studio_code
baevis запусти игру,unknown
baevis запусти игру щас,unknown
baevis напомни мне завтра щас,unknown
baevis обнови драйвер на компе,unknown
baevis останови музыку,unknown
baevis открой окнно,unknown
baevis открой окно,unknown
baevis открывай com squirrel discord,discord
baevis пеерзагрузи пк щас,unknown
baevis пеермести окно,unknown
baevis перезаггрузи пк,unknown
baevis переключи музыку поажлуйста,unknown
baevis перемести окно если можешь,unknown
baevis перремести окно щас,unknown
baevis подключи vpn щас,unknown
baevis поставь таймер если мжоешь,unknown
baevis сделай громкость 20 если можешь,unknown
baevis сделай скиншот,unknown
baevis скачай фаайл,unknown
baevis скачай файл,unknown
baevis слеудющий трек,unknown
baevis создаай папку,unknown
baevis стратани word на компе,word
baevis увеличь масштаб если можешь,unknown
baevis увелиьч масштаб щас,unknown
bavis codex открой,codex
bavis динамики рвутся,unknown
bavis динамики рвутся мне надо,unknown
bavis закинь меня в codex,codex
bavis запиши экран,unknown
bavis запусти игру на копе,unknown
bavis запшии экран,unknown
bavis какая пагода щас,unknown
bavis напонми мне завтра если можешь,unknown
bavis обнови дрйавер,unknown
bavis останови музыку,unknown
bavis открйо проект,unknown
bavis открой openai на компе,codex
bavis открой мне хром,google_chrome
bavis открой телегам,telegram
bavis пакажи рабочий стол,unknown
bavis перезагрзи пк,unknown
bavis перезагрзуи пк,unknown
bavis перезагруззи пк щас,unknown
bavis перезагруиз пк,unknown
bavis подключи vpn,unknown
bavis покажи раочий стол щас,unknown
bavis поставь будиильник щас,unknown
bavis поставь яркость 50,unknown
bavis просто открой что-нибудь щас,unknown
bavis сдеай скриншот щас,unknown
bavis сделай громкость 20,unknown
bavis сделай скриншот,unknown
bavis сделай скриншот если можешь,unknown
bavis следующий терк,unknown
bavis слеудющий трек,unknown
bavis создай папку,unknown
bavis созддай папку,unknown
bavis убей процесс,unknown
bavis что по новостям если можешь,unknown
bavis что по ноовостям,unknown
beaavis bloknot включи если можешь,bloknot
beaavis com squirrel discord запусти,discord
beaavis dev включи,beavis_dev
beaavis бивси заткнись,unknown
beaavis закрой программу мне надо,unknown
beaavis запиши экран,unknown
beaavis запиши экран если можешь,unknown
beaavis запсути игру,unknown
beaavis запусти игру,unknown
beaavis какая погода,unknown
beaavis какая погодда,unknown
beaavis кокая погода,unknown
beaavis обнови драйвер,unknown
beaavis обнови драйвер щас,unknown
beaavis открой dev,beavis_dev
beaavis открой дверцу щас,unknown
beaavis открой окно поажлуйста,unknown
beaavis перезапусти bloknoot,unknown
beaavis перемести оккно щас,unknown
beaavis подкключи vpn,unknown
beaavis подключи vpn ессли можешь,unknown
beaavis покажи рабоий стол на компе,unknown
beaavis поставь будильник,unknown
beaavis поставь таймер,unknown
beaavis сделай громкость 20,unknown
beaavis сделай громкость 20 щас,unknown
beaavis сделай громче,unknown
beaavis склько времени,unknown
beaavis сколько времени бысро,unknown
beaavis сколько времени на компе,unknown
beais word открой на компе,word
beais выключи звук,unknown
beais закрой программу на кмопе,unknown
beais запиши экран мне надо,unknown
beais запусти мне дсикорд мне надо,discord
beais найди и открой dev,beavis_dev
beais останови музыкку,unknown
beais останови музыку,unknown
beais открой word,word
beais открой проеект,unknown
beais отрой окно щас,unknown
beais перееключи музыку,unknown
beais перезагрузи пк,unknown
beais перемести окно бысрто,unknown
beais подключи vpn,unknown
beais покажи рабочий стол,unknown
beais покажи рабочий стол щас,unknown
beais поработать надо в chrome мне надо,google_chrome
beais поставь яркость 50 бысто,unknown
beais посттавь яркость 50 на компе,unknown
beais почнии кодекс,unknown
beais скаачй файл щас,unknown
beais сколько временни,unknown
beais создай папку,unknown
beais создйа папку,unknown
beais увеличь масштаб бстро,unknown
beaivs выключи звук мне надо,unknown
beaivs закроой программу,unknown
beaivs запиши экарн,unknown
beaivs запиши экрна,unknown
beaivs заткнись мне надо,unknown
beaivs найди файл пожалйуста,unknown
beaivs наййди файл,unknown
beaivs напомни мне завтра мне надо,unknown
beaivs напоомни мне завтра,unknown
beaivs откой окно щас,unknown
beaivs открой dev щас,beavis_dev
beaivs открой мне crhome,google_chrome
beaivs открой окно щас,unknown
beaivs открой редактор бррух,unknown
beaivs открой реедактор,unknown
beaivs отправь сообщение,unknown
beaivs перезагрузи пк,unknown
beaivs перейди в beavsi dev мне надо,beavis_dev
beaivs перемести окно на кмопе,unknown
beaivs подключи vpn если можешь,unknown
beaivs почисти корзину,unknown
beaivs сколько времени пожалуйта,unknown
beaivs стартани baevis dev,beavis_dev
beaivs стартани тг на компе,telegram
beaivs убавь зввук,unknown
beaivs увелчиь масштаб,unknown
beaivs удали файл,unknown
beaivs что по новостям,unknown
beaves blender-launcher открой быыстро,blender_5_0
beaves visual studio code запусти на компе,visual_studio_code
beaves включи worrd,word
beaves выкллючи компьютер,unknown
beaves выключи компьютер,unknown
beaves выключи компьютер на компе,unknown
beaves выключи компьютер щас,unknown
beaves выключчи компьютер мне надо,unknown
beaves вылкючи звук,unknown
beaves загрузи baevis щас,beavis_dev
beaves мне бы ворд открыть мне надо,word
beaves найди фойл,unknown
beaves найди фойл,unknown
beaves напомни мне завтра,unknown
beaves останови музыку,unknown
beaves останови музыку на компе,unknown
beaves открой окно,unknown
beaves пачисти корзину мне надо,unknown
beaves покажи рабочий стол если можешь,unknown
beaves покажи рабочий стол мне нато,unknown
beaves поставь будильник мне ндо,unknown
beaves поставь будильник на компе,unknown
beaves постаьв будильник,unknown
beaves сделай громкость 20 есил можешь,unknown
beaves сделай громкость 20 если можешь,unknown
beaves сделай громче,unknown
beaves сделай громче на компе,unknown
beaves сделай грромче,unknown
beaves сделай потише щас,unknown
beaves сделай скриншот,unknown
beaves сколько времени,unknown
beaves сколько времени щас,unknown
beaves следующий трек,unknown
beaves следующий трек щас,unknown
beaves убей процесс щас,unknown
beaves что по новосятм,unknown
beaviis codex открой на компе,codex
beaviis вскод мне надо,visual_studio_code
beaviis выключи зук,unknown
beaviis где мой com squirrel discord,discord
beaviis закрой программу,unknown
beaviis закрой программу,unknown
beaviis закрой программу щас,unknown
beaviis запиши экран на компе,unknown
beaviis напомни мне завтра,unknown
beaviis напомни мне завтра бытро,unknown
beaviis обнови драйвер,unknown
beaviis открывай biavis dev на компе,beavis_dev
beaviis переключи музыку,unknown
beaviis переключи муузыку,unknown
beaviis перемсти окно,unknown
beaviis подключи vpn,unknown
beaviis позвони маме,unknown
beaviis позвони маме на коме,unknown
beaviis покдлючи vpn мне надо,unknown
beaviis поставь будильник,unknown
beaviis постовь яркость 50,unknown
beaviis просто отрой что-нибудь,unknown
beaviis сделай громкостть 20,unknown
beaviis сделай громкость 20 щас,unknown
beaviis сделай громче,unknown
beaviis сделай громче,unknown
beaviis следующий трек бррух,unknown
beaviis увелличь масштаб,unknown
beavs chrome открой,google_chrome
beavs даваай blender-launcher мне надо,blender_5_0
beavs закрй программу щас,unknown
beavs закрой программу,unknown
beavs запиши эккран,unknown
beavs какая погода щас,unknown
beavs напомни мне завтра щас,unknown
beavs обноови драйвер,unknown
beavs открйо дверцу мне надо,unknown
beavs открой блокнот,bloknot
beavs открой проект пожжалуйста,unknown
beavs переключи музыку щас,unknown
beavs покажи рабачий стол на компе,unknown
beavs поставь яркость 50,unknown
beavs сделай громче на коме,unknown
beavs сдлай потише,unknown
beavs следующий трек на компе,unknown
beavs убавь звук,unknown
beavs увеличь масштаб,unknown
beavs увеличь масштаб на компе,unknown
beavs удлаи файл если можешь,unknown
beavs удли файл щас,unknown
beavsi blender 5 0,blender_5_0
beavsi dev,beavis_dev
beavsi music открой,yandeks_muzyka
beavsi выключи звук если можшь,unknown
beavsi выключи компьютер,unknown
beavsi запиши экран,unknown
beavsi запиши экран мне надо,unknown
beavsi запусти игру,unknown
beavsi запустти игру,unknown
beavsi какая погода,unknown
beavsi мне бы com squirrel discord открыть,discord
beavsi наппомни мне завтра,unknown
beavsi обонви драйвер,unknown
beavsi одкрой дверцу,unknown
beavsi останови музыку есил можешь,unknown
beavsi останови музыку на компе,unknown
beavsi останои музыку щас,unknown
beavsi открйо blender 5 0,blender_5_0
beavsi открой окнно мне надо,unknown
beavsi открой яндекс музыка,yandeks_muzyka
beavsi пеерзагрузи пк,unknown
beavsi позвони маме,unknown
beavsi покажи робочий стол,unknown
beavsi преезагрузи пк щас,unknown
beavsi просто открой что-нибудь,unknown
beavsi сделай громче,unknown
beavsi селай скриншот,unknown
beavsi скачай файл,unknown
beavsi скачай файл щас,unknown
beavsi следдующий трек,unknown
beavsi создай папку,unknown
beavsi убей процесс на компе,unknown
beavvis dev открой,beavis_dev
beavvis выключи компьютер,unknown
beavvis найди файл на комеп,unknown
beavvis обнови драйвер на компе,unknown
beavvis октрой проект,unknown
beavvis октрой уже ru yandex desktop,yandeks_muzyka
beavvis останови муззыку щас,unknown
beavvis отравь сообщение щас,unknown
beavvis пожалуййста блендер открой,blender_5_0
beavvis позвони маме,unknown
beavvis покажи рабочий стол на компе,unknown
beavvis посставь будильник,unknown
beavvis поставь таймер,unknown
beavvis поставь таймер,unknown
beavvis почити корзину,unknown
beavvis сделай громче на компе,unknown
beavvis сделай потише мне нодо,unknown
beavvis сделай скриншот,unknown
beavvis следующий тек,unknown
beavvis создай папку,unknown
beavvis убей процезс,unknown
beavvis убей процесс,unknown
beeavis запиши экран щас,unknown
beeavis какая погода,unknown
beeavis найи файл,unknown
beeavis онбови драйвер,unknown
beeavis останови музыкку,unknown
beeavis останови музыку,unknown
beeavis отанови музыку,unknown
beeavis открой microsoft щас,bloknot
beeavis открой на компе,beavis_dev
beeavis открой окно,unknown
beeavis открой редактор мне надо,unknown
beeavis отправь сообщение щас,unknown
beeavis перезагрузи пк,unknown
beeavis перезагузи пк,unknown
beeavis переключи муызку мне надо,unknown
beeavis перреключи музыку,unknown
beeavis позвони маме,unknown
beeavis позфони маме мне надо,unknown
beeavis поставь тааймер на компе,unknown
beeavis поставь тоймер,unknown
beeavis почиси корзину,unknown
beeavis прсто открой что-нибудь щас,unknown
beeavis псотавь таймер если можешь,unknown
beeavis скачай фйл,unknown
beeavis сколько времени,unknown
beeavis следующий трек мне ндао,unknown
beeavis убей процесс,unknown
beeavis убей процесс щас,unknown
beeavis увеличь масштаб на компе,unknown
beeavis удали файл щас,unknown
bender 5 0 включи,blender_5_0
beovis вкылючи звук,unknown
beovis выключи звук,unknown
beovis запусти игру,unknown
beovis запусти иру,unknown
beovis заткнись,unknown
beovis найди файл,unknown
beovis напамни мне завтра,unknown
beovis останови музыку бурх,unknown
beovis открой дверцу бысрто,unknown
beovis открой окно,unknown
beovis открой окно мне надо,unknown
beovis открой окно щас,unknown
beovis открой редактор,unknown
beovis падключи vpn,unknown
beovis перезагррузи пк,unknown
beovis подключи vpn,unknown
beovis позвони маме,unknown
beovis поставь будильник щас,unknown
beovis почиисти корзину мне надо,unknown
beovis почисти корзину бурх,unknown
beovis просто одкрой что-нибудь,unknown
beovis сделай поитше,unknown
beovis сделай потшие,unknown
beovis сздай папку,unknown
beovis убавь звук мне нодо,unknown
beovis уббей процесс,unknown
beovis убей процесс,unknown
bevais включи bledner,blender_5_0
bevais загрузи discord,discord
bevais закрой проограмму,unknown
bevais закрой проргамму щас,unknown
bevais заткнись,unknown
bevais напомни мне завтра,unknown
