text,vague_label
короче еле слышно пожалуйста,DELTA_PLUS_15
короче на максимум брат,SET_100
бвис заткнись пожалуйста,SET_0
брух нормально пожалуйста,SET_50
брух затткни быстро,SET_0
бивис в ноль брат,SET_0
пожалуйста заккрой окно быстро,UNKNOWN
очень тихо слышно сейчас,DELTA_PLUS_15
ну а ну тихо быстро,DELTA_MINUS_10
нормально быстро,SET_50
эй бивис сделай тише плиз,DELTA_MINUS_10
пожалуйста сделай тише,DELTA_MINUS_10
эй бивис запусти блокнот сейччас,UNKNOWN
эй бивис почти максимум,SET_90
ну сделай ноль быстро,SET_0
бивис звук режет уши,DELTA_MINUS_25
корое сделай громче пожалуйста,DELTA_PLUS_10
сделай звук еле еле пожалуйста,SET_10
слушай переключи пеесню,UNKNOWN
брух сделай погромче нормально пожалуйста,SET_70
слушай динамики рвуться сейчас,DELTA_MINUS_25
эй бивис слегка тише сейчас,DELTA_MINUS_5
чуть чуть потише бсытро,DELTA_MINUS_5
слушай сделай звук еле еле,SET_10
бивис поставь таймер брат,UNKNOWN
открой ютуб сейачс,UNKNOWN
бивис комфортно быстро,SET_60
пожалуйста немного громче быстро,DELTA_PLUS_5
ну что по времени брат,UNKNOWN
ну уши реет плиз,DELTA_MINUS_25
бивис запусти блокннот брат,UNKNOWN
ну звук еле слышно пожалуйста,DELTA_PLUS_15
пожалуйста средне пожалуйста,SET_50
короче почти на максимум брат,SET_90
пожалуйста почти на максимум быстро,SET_90
короче громкковато как то,DELTA_MINUS_10
слушай бивис чуть чуть потише брат,DELTA_MINUS_5
коороче а ну тихо плиз,DELTA_MINUS_10
пожалуйста селай приглушенно плиз,SET_20
сулшай слегка тише,DELTA_MINUS_5
бивис громче,DELTA_PLUS_10
короче сделай тише,DELTA_MINUS_10
бивис сделай чуть громче сейчас,DELTA_PLUS_5
ну слекга тише брат,DELTA_MINUS_5
слушай погромче брат,DELTA_PLUS_10
брух почти не слышу быстро,DELTA_PLUS_25
короче динамики рвутся пожалуйста,DELTA_MINUS_25
брух открой ютуб пожалуйста,UNKNOWN
короче уши режет пожалуйста,DELTA_MINUS_25
брух громквоато брат,DELTA_MINUS_10
ну добавь громкости быстро,DELTA_PLUS_10
бивиис выруби звук плиз,SET_0
слушай звук режет уши быстро,DELTA_MINUS_25
пожалуйста чуть чуть громче брат,DELTA_PLUS_5
слушай обычный звук,SET_60
ну на максимум сейчас,SET_100
ну замолчи пожалуйста,SET_0
ну ничего не слышно сейчас,DELTA_PLUS_25
бивис звук еле слышно сейчас,DELTA_PLUS_15
найди файл пожалуйста,UNKNOWN
короче уши режет брат,DELTA_MINUS_25
слушай в ноль,SET_0
пожалуйста поставь таймер сейчас,UNKNOWN
ну чуть чуть громче,DELTA_PLUS_5
эй бивис закни пожалуйста,SET_0
пожалуйста чуть прибавь быстро,DELTA_PLUS_5
выкллючи звук брат,SET_0
погромче плиз,DELTA_PLUS_10
ну сдделай скриншот сейчас,UNKNOWN
чуть чуть громче плиз,DELTA_PLUS_5
чуть громче быстро,DELTA_PLUS_5
ну динамики рвуутся,DELTA_MINUS_25
короче открой браузер сейас,UNKNOWN
бивис средне плиз,SET_50
слушай расскажи анекдот,UNKNOWN
слушай сделай скриншот,UNKNOWN
ну чуть убавь пожалуйста,DELTA_MINUS_5
слегка громмче брат,DELTA_PLUS_5
слушай громковвато как то брат,DELTA_MINUS_10
пожалуйса выключи звук сейчас,SET_0
ну отклчи звук,SET_0
ну почти на максимум сейчас,SET_90
слушай вкылючи звук сейчас,SET_0
короче мьют пожалуйста,SET_0
пожалуста мне не слышно плиз,DELTA_PLUS_25
брух открой браузер,UNKNOWN
короче бивис чуть чуть потише брат,DELTA_MINUS_5
пожалуйста динамики рвуться сейчас,DELTA_MINUS_25
бивис почти на максимум,SET_90
короче комфортно,SET_60
обычный звук пожалуйста,SET_60
короче погромче плиз,DELTA_PLUS_10
ну тихо сылшно пожалуйста,DELTA_PLUS_15
эй бивис еле слышно брат,DELTA_PLUS_15
бивис а ну тихо плиз,DELTA_MINUS_10
пожалуйста немного тише,DELTA_MINUS_5
брух почти оглох,DELTA_MINUS_25
ну приглуши звук брат,SET_20
брух чуть чуть потише,DELTA_MINUS_5
брух приглуши звук сейчас,SET_20
слушаай сделай ноль,SET_0
пожалуйста закрой окно плиз,UNKNOWN
ну не слышно бсытро,DELTA_PLUS_25
короче поставь еле слышно,SET_10
ну почти на максимум пожалуйста,SET_90
эй бивис в ноль пожалуйста,SET_0
ну заглуши звук,SET_0
короче сделай скриншот пожалуйста,UNKNOWN
ну заткнись брат,SET_0
чуть прибавь брат,DELTA_PLUS_5
ну приглуши,SET_20
эй бивис очень громко быстро,DELTA_MINUS_25
слушай звук режет уши пожалуйста,DELTA_MINUS_25
бивис обычный звук плиз,SET_60
бивс на полную,SET_100
эй бвис потише брат,DELTA_MINUS_10
ну сделай поггромче нормально брат,SET_70
сделай приглушенно сейчас,SET_20
ну чуть чуть громче брат,DELTA_PLUS_5
слушай приглуши звук пожалуйста,SET_20
пожалуйста найди файл плиз,UNKNOWN
брух запусти блокнот,UNKNOWN
эй бивис немнного громче плиз,DELTA_PLUS_5
эй бивис фигово слышно быстро,DELTA_PLUS_15
ну закрой окно сейчас,UNKNOWN
пожалуйста прибавь плиз,DELTA_PLUS_10
ну почти оглох сейчас,DELTA_MINUS_25
брух запуси блокнот плиз,UNKNOWN
пожалуйста поставь таймер быстро,UNKNOWN
брух потише брат,DELTA_MINUS_10
слушшай чуть чуть громче плиз,DELTA_PLUS_5
ну погромче плиз,DELTA_PLUS_10
биивис слышно фигово плиз,DELTA_PLUS_15
слушай сделай почти без звука быстро,SET_10
сделай сриншот,UNKNOWN
короче громко но не максимум сейчас,SET_80
ну запусти блокнот поажлуйста,UNKNOWN
короче совсем не слышно быстро,DELTA_PLUS_25
бивиис слышно фигово,DELTA_PLUS_15
убавь пожалуйста,DELTA_MINUS_10
брух заткни быстро,SET_0
брух чуть убавь быстро,DELTA_MINUS_5
эй бивис открой ютуб сейчас,UNKNOWN
короче сделай чуть громче быстро,DELTA_PLUS_5
слушай комфортно брат,SET_60
пожалуйста приглуши звук сейчас,SET_20
короче не слышно быстро,DELTA_PLUS_25
пожалуйста чуть чуть громчче пожалуйста,DELTA_PLUS_5
ну поставь еле слышно быстро,SET_10
ну на максимум плиз,SET_100
добавь громкости быстро,DELTA_PLUS_10
бивис плохо слышнно плиз,DELTA_PLUS_15
брух почти на максимум брат,SET_90
брух динамии рвутся сейчас,DELTA_MINUS_25
пожалуйста сделай еле слышно брат,SET_10
пожалуйста звук режет уши плиз,DELTA_MINUS_25
бивис сделай скриншот плиз,UNKNOWN
брух не слыншо плиз,DELTA_PLUS_25
эй бивис слышно фигово пожалуйста,DELTA_PLUS_15
пожалуйста громковато как то плиз,DELTA_MINUS_10
бивиис закрой окно брат,UNKNOWN
бивис еле слышно брат,DELTA_PLUS_15
эй бивис в ноль быстро,SET_0
пожалуйста мне не слышно сейчас,DELTA_PLUS_25
короче обычный уровень быстро,SET_60
корое обычный уровень сейчас,SET_60
короче прибавь быстро,DELTA_PLUS_10
слушай мне не слышно пожалйста,DELTA_PLUS_25
короче зкарой окно пожалуйста,UNKNOWN
короче плохо слыышно быстро,DELTA_PLUS_15
ну сделай чуть громче пожалуйста,DELTA_PLUS_5
короче плохо слышно быстро,DELTA_PLUS_15
ну бивис чуть чуть громче пожалуйста,DELTA_PLUS_5
бивис выключи звук быстро,SET_0
пожалуййста поставь на ноль,SET_0
пожалуйста сделай чуть громче,DELTA_PLUS_5
без звука пожалуйста,SET_0
брух сделай тише плиз,DELTA_MINUS_10
эй бивис поставь еле слышно брат,SET_10
выключи звук быстро,SET_0
эй бивис расскажи анекдот брат,UNKNOWN
биивс сделай тише плиз,DELTA_MINUS_10
брух чуть чуть потиише пожалуйста,DELTA_MINUS_5
брух сделай почти без звука,SET_10
очень громко быстро,DELTA_MINUS_25
короче на полную быстро,SET_100
сделай громче пожалуйста,DELTA_PLUS_10
брух мьют,SET_0
ну динамики рвутся быстро,DELTA_MINUS_25
бивис расскажи анекдот брат,UNKNOWN
эй бивис приглуши звук пожалуйста,SET_20
эй бивис открой браузер пожалуйста,UNKNOWN
слушай громче сейчас,DELTA_PLUS_10
эй бивис выруби звук брат,SET_0
что по вреени плиз,UNKNOWN
слушай выключи звук плиз,SET_0
слушай отткрой браузер пожалуйста,UNKNOWN
ну звук еле слышно,DELTA_PLUS_15
ну сделай еле слышно,SET_10
слушай плохо слышно,DELTA_PLUS_15
громковато как то быстро,DELTA_MINUS_10
слушай уши режет брат,DELTA_MINUS_25
короче сделай скриншот пожалйста,UNKNOWN
ну бивис чуть чуть громче сейчас,DELTA_PLUS_5
брух что по времени быстро,UNKNOWN
бивс почти не слышу пожалуйста,DELTA_PLUS_25
ну фиггово слышно,DELTA_PLUS_15
короче переключи псню быстро,UNKNOWN
эй бивис немного громче плиз,DELTA_PLUS_5
слушай слышно фигово сейчас,DELTA_PLUS_15
почти на максимум,SET_90
бивиис сделай скриншот быстро,UNKNOWN
бивис громко слишком сейчас,DELTA_MINUS_15
эй бивс расскажи анекдот,UNKNOWN
короче замолччи сейчас,SET_0
брух звук режет уши быстро,DELTA_MINUS_25
брух мьют быстро,SET_0
брух открой ютуб,UNKNOWN
эй бивис без зука быстро,SET_0
слушай еле слышнно,DELTA_PLUS_15
слушай уши режет пожалуйса,DELTA_MINUS_25
ну поставь еле слышно,SET_10
эй бивис очень тихо плиз,DELTA_PLUS_25
эй бивис динамики рвуться брат,DELTA_MINUS_25
слушай выруби звук,SET_0
бивис сделай еле слышно быстро,SET_10
слушай почти не слышу брат,DELTA_PLUS_25
пожалуйста сделай звук еле еле плиз,SET_10
слуушай почти не слышу сейчас,DELTA_PLUS_25
бивис громко слишком плиз,DELTA_MINUS_15
немного громче плиз,DELTA_PLUS_5
эй бивис выключи звук,SET_0
эй бивис громковато быстро,DELTA_MINUS_10
брух расскажи анекдот плиз,UNKNOWN
брух чуть чуть потише сейчас,DELTA_MINUS_5
пожалуйса сделай очень тихо пожалуйста,SET_10
эй бивис чуть убавь пожалуйста,DELTA_MINUS_5
эй бивис тише,DELTA_MINUS_10
приглуши быстро,SET_20
коомфортно быстро,SET_60
эй бивис зктни,SET_0
короче приглуши звук быстро,SET_20
сделай чуть громче пожалуйста,DELTA_PLUS_5
пожалуйста что по времени брат,UNKNOWN
короче на максимум сейчас,SET_100
слушай открой брауер брат,UNKNOWN
бивис динамики рвуться,DELTA_MINUS_25
закрой окно плиз,UNKNOWN
бивис что по времени пожалуйста,UNKNOWN
ну сдеелай скриншот плиз,UNKNOWN
пожалуйста запусти блокнот пожалуйста,UNKNOWN
бивис совсем не слышно быстро,DELTA_PLUS_25
бивис слышно фигово,DELTA_PLUS_15
слушай прибавь брат,DELTA_PLUS_10
громко слишком,DELTA_MINUS_15
пожалуйста немного громче,DELTA_PLUS_5
ну найдди файл,UNKNOWN
коороче открой ютуб,UNKNOWN
брух прибавь плиз,DELTA_PLUS_10
ну заглуши звук быстро,SET_0
заглуши звук плиз,SET_0
сделай еле слышно брат,SET_10
короче заглуши звук пожалуйста,SET_0
бивис заткни плиз,SET_0
поставь на ноль плиз,SET_0
пожалуйста бивис чуть чуть потише пожалуйста,DELTA_MINUS_5
бивис переключи песню быстро,UNKNOWN
брух еле слышно пожжалуйста,DELTA_PLUS_15
корооче прибавь пожалуйста,DELTA_PLUS_10
рассакжи анекдот,UNKNOWN
сделай тише быстро,DELTA_MINUS_10
пожалуйста очень тихо пожалуйста,DELTA_PLUS_25
бивис очень тихо брат,DELTA_PLUS_25
бивис найди файл брат,UNKNOWN
эй бивис чуть громче,DELTA_PLUS_5
ну сделай звук еле еле,SET_10
короче какая погода пожалуйста,UNKNOWN
короче очень громко сейчас,DELTA_MINUS_25
слушай очень громко плиз,DELTA_MINUS_25
ну какая погода пожалуйста,UNKNOWN
слушай чуть громче,DELTA_PLUS_5
бивис чуть прибавь,DELTA_PLUS_5
брух совсем не слышно сейчас,DELTA_PLUS_25
бивис приглуши быстро,SET_20
бивис еле сышно плиз,DELTA_PLUS_15
